# Time (s)	Gamma
     442.2	    0.0852
     442.5	    0.0852
     442.8	    0.0853
     443.1	    0.0853
     443.4	    0.0853
     443.7	    0.0853
     444.0	    0.0853
     444.3	    0.0852
     444.6	    0.0852
     444.9	    0.0851
     445.2	    0.0851
     445.5	    0.0851
     445.8	    0.0851
     446.1	    0.0851
     446.4	    0.0851
     446.7	    0.0851
     447.0	    0.0851
     447.3	    0.0850
     447.6	    0.0851
     447.9	    0.0851
     448.2	    0.0851
     448.5	    0.0851
     448.8	    0.0851
     449.1	    0.0852
     449.4	    0.0852
     449.7	    0.0852
     450.0	    0.0851
     450.3	    0.0851
     450.6	    0.0850
     450.9	    0.0850
     451.2	    0.0849
     451.5	    0.0848
     451.8	    0.0848
     452.1	    0.0848
     452.4	    0.0848
     452.7	    0.0848
     453.0	    0.0848
     453.3	    0.0849
     453.6	    0.0849
     453.9	    0.0850
     454.2	    0.0850
     454.5	    0.0850
     454.8	    0.0851
     455.1	    0.0850
     455.4	    0.0850
     455.7	    0.0849
     456.0	    0.0849
     456.3	    0.0848
     456.6	    0.0848
     456.9	    0.0847
     457.2	    0.0847
     457.5	    0.0848
     457.8	    0.0848
     458.1	    0.0848
     458.4	    0.0848
     458.7	    0.0848
     459.0	    0.0848
     459.3	    0.0848
     459.6	    0.0848
     459.9	    0.0848
     460.2	    0.0848
     460.5	    0.0848
     460.8	    0.0848
     461.1	    0.0848
     461.4	    0.0848
     461.7	    0.0847
     462.0	    0.0847
     462.3	    0.0847
     462.6	    0.0847
     462.9	    0.0847
     463.2	    0.0847
     463.5	    0.0847
     463.8	    0.0847
     464.1	    0.0847
     464.4	    0.0847
     464.7	    0.0847
     465.0	    0.0847
     465.3	    0.0847
     465.6	    0.0846
     465.9	    0.0846
     466.2	    0.0846
     466.5	    0.0846
     466.8	    0.0846
     467.1	    0.0846
     467.4	    0.0846
     467.7	    0.0846
     468.0	    0.0846
     468.3	    0.0846
     468.6	    0.0846
     468.9	    0.0846
     469.2	    0.0846
     469.5	    0.0846
     469.8	    0.0846
     470.1	    0.0846
     470.4	    0.0845
     470.7	    0.0845
     471.0	    0.0845
     471.3	    0.0845
     471.6	    0.0845
     471.9	    0.0845
     472.2	    0.0845
     472.5	    0.0845
     472.8	    0.0845
     473.1	    0.0845
     473.4	    0.0845
     473.7	    0.0845
     474.0	    0.0845
     474.3	    0.0845
     474.6	    0.0845
     474.9	    0.0845
     475.2	    0.0845
     475.5	    0.0845
     475.8	    0.0845
     476.1	    0.0845
     476.4	    0.0845
     476.7	    0.0844
     477.0	    0.0844
     477.3	    0.0844
     477.6	    0.0843
     477.9	    0.0843
     478.2	    0.0843
     478.5	    0.0843
     478.8	    0.0843
     479.1	    0.0843
     479.4	    0.0843
     479.7	    0.0844
     480.0	    0.0844
     480.3	    0.0844
     480.6	    0.0844
     480.9	    0.0844
     481.2	    0.0844
     481.5	    0.0843
     481.8	    0.0843
     482.1	    0.0843
     482.4	    0.0842
     482.7	    0.0842
     483.0	    0.0842
     483.3	    0.0842
     483.6	    0.0842
     483.9	    0.0842
     484.2	    0.0842
     484.5	    0.0842
     484.8	    0.0842
     485.1	    0.0843
     485.4	    0.0843
